Capacity,id,Country Code,K,BC,CC,idx,Community,B,Z,P,phi,rho_C,rho_CM
216610,853,ZAF,25,0.000827324,0.527075812,127,4,-0.3258,0.3326,0.4576,0.585103785,1.29351564,0.224507692
186427,673,BRA,18,7.46E-05,0.514084507,101,4,-0.3687,-0.5436,0.5123,0.386438765,1.232191118,0.115062646
84000,474,GBR,11,0,0.425655977,82,4,-0.4543,-1.2737,0.562,0.92,1.218662165,0.376027692
93754,674,BRA,12,0,0.503448276,102,4,-0.4115,-1.2737,0.5694,0.229284229,1.126223812,0.039767271
93754,680,BRA,12,0,0.503448276,107,4,-0.4115,-1.2737,0.5694,0.162217728,1.066223868,0.015968975
371452,666,URY,26,0.000956832,0.536764706,98,4,-0.1974,0.0406,0.5888,0.455216535,1.248403061,0.149666462
576987,676,BRA,30,0.001504769,0.544776119,104,4,-0.1118,0.3326,0.6156,0.361862496,1.217745522,0.101958721
576987,679,BRA,30,0.001504769,0.544776119,106,4,-0.1118,0.3326,0.6156,0.627069133,1.279735232,0.24393963
483233,667,ARG,27,0.001035609,0.538745387,99,4,-0.1546,0.0406,0.6173,0.515763136,1.279499814,0.18550442
87430,916,ARE,10,0,0.508710801,138,4,-0.4115,-1.5658,0.64,0.361862496,1.217745522,0.101958721
296806,671,BRA,18,0.000374072,0.521428571,100,4,-0.283,-0.8356,0.6481,0.47768595,1.260790055,0.162894628
390560,678,BRA,23,0.000804287,0.530909091,105,4,-0.1546,-0.5436,0.6692,0.345584416,1.202175877,0.092598636
1239087,176,CHN,65,0.016438336,0.643171806,26,4,0.8729,2.085,0.7077,1,1.147152833,0.364963636
931991,175,CHN,62,0.013476001,0.634782609,25,4,0.9157,1.5009,0.7294,1,1.211484461,0.402875
1177221,154,CHN,68,0.01887263,0.651785714,15,4,1.2154,1.3549,0.7522,0.886021505,1.229843165,0.364980645
69000,145,CHN,6,0,0.493243243,11,4,-0.4971,-1.8579,0.7778,0.239485944,1.133376641,0.043784835
1765444,802,MYS,68,0.012930102,0.651785714,123,4,1.4722,0.4787,0.779,1,1.185962895,0.388824176
2924169,171,CHN,93,0.035651366,0.733668342,23,4,2.1144,1.939,0.7848,1,1.127079744,0.347
4583041,150,HKG,123,0.08140069,0.863905325,12,4,3.1847,2.6692,0.7883,1,1.106427864,0.326952381
5029748,794,SGP,106,0.051292027,0.784946237,121,4,2.9706,0.9168,0.7909,1,1.087805556,0.3091
94848,285,EGY,18,0,0.51590106,53,5,-1.008,0.0846,0.4938,0.742837177,1.255836196,0.300248078
94848,412,JPN,18,0,0.51590106,73,5,-1.008,0.0846,0.4938,0.885080645,1.239696679,0.368163306
321205,267,SVN,27,0.000646306,0.546816479,50,5,-0.7125,1.0996,0.5981,0.468266457,1.256337073,0.157477183
321205,268,ITA,27,0.000646306,0.546816479,51,5,-0.7125,1.0996,0.5981,0.250627615,1.141327058,0.048386088
183636,940,ISR,24,0.000312059,0.540740741,143,5,-0.6534,0.0846,0.6632,0.572004479,1.297137072,0.218402688
325554,161,TWN,26,0.000330615,0.534798535,17,5,-0.5943,0.3383,0.6657,0.468266457,1.256337073,0.157477183
65691,266,ITA,9,0,0.498293515,49,5,-1.008,-2.1992,0.6667,0.543502614,1.301639378,0.204304518
278567,429,JPN,39,0.001699273,0.577075099,80,5,0.174,0.3383,0.7377,0.85210084,1.225794081,0.347147899
296768,326,USA,15,0,0.525179856,62,5,-0.7125,-1.9455,0.7378,0.706557377,1.260000603,0.281869945
226357,265,HRV,16,0.000124651,0.525179856,48,5,-0.7716,-1.438,0.7422,0.28372093,1.172488842,0.064147804
379604,373,USA,37,0.001214745,0.57254902,70,5,0.1149,0.0846,0.7568,0.455216535,1.248403061,0.149666462
1547406,152,TWN,58,0.006622747,0.623931624,14,5,1.2378,0.5921,0.7592,1,1.159328043,0.372681818
1006709,367,USA,39,0.004824075,0.57480315,67,5,0.2922,-0.1692,0.7613,0.517499151,1.276302458,0.185747537
642925,232,GRC,43,0.002211092,0.586345382,38,5,0.3513,0.5921,0.7701,0.855614973,1.220244828,0.346490196
612699,834,VNM,36,0.001622064,0.5703125,124,5,0.2922,-0.9305,0.7762,0.621296296,1.285913191,0.242181481
616069,377,CAN,54,0.007336547,0.613445378,72,5,1.0605,0.3383,0.7785,0.649759348,1.278650064,0.255871159
1158715,737,LKA,55,0.008807533,0.616033755,116,5,1.0014,0.8459,0.7868,0.837837838,1.226937407,0.340518018
2266582,795,MYS,84,0.020783976,0.701923077,122,5,2.6563,1.0996,0.7877,1,1.222580339,0.40825
