id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
910,1863663,SAU,112,0.003126451,0.7929,1.2116,0.297862626
911,848920,SAU,47,0.000179471,0.302,1.1512,0.063157283
912,47918,OMN,25,3.27E-05,0.1339,1.0384,0.00750745
913,85962,SAU,32,0.000156345,0.1823,1.0665,0.018262882
915,163265,OMN,28,0.000330215,0.1513,1.0469,0.010681018
916,301551,ARE,51,0.000813866,0.3376,1.1721,0.079372437
917,12617,QAT,21,1.59E-05,0.118,1.0295,0.004988469
918,2591142,ARE,142,0.019407499,0.8892,1.1528,0.315683077
919,1078,ARE,3,0,0.0427,1.0004,1.89E-05
920,41350,QAT,30,0.000275789,0.1669,1.0543,0.013956645
921,27861,ARE,30,0.000593141,0.1669,1.0543,0.013956645
922,921245,ARE,78,0.002820544,0.5968,1.2721,0.216192509
923,3899,IRN,8,5.05E-06,0.0558,1.0035,0.000218826
925,11609,ARE,12,0,0.0745,1.0141,0.001228422
926,260580,BHR,34,0.000406555,0.201,1.0817,0.024160347
928,411475,SAU,70,0.0014553,0.4995,1.2363,0.160645309
929,218652,SAU,52,0.000682568,0.3455,1.1717,0.082191753
930,157966,IRN,52,0.001979743,0.3455,1.1717,0.082191753
931,56407,IRN,15,0.00035709,0.0898,1.0189,0.002169925
932,9294,IRN,6,0,0.0501,1.0022,0.00011865
933,22354,KWT,12,0,0.0745,1.0141,0.001228422
934,274769,JOR,52,0.000755279,0.3455,1.1717,0.082191753
935,50595,IRQ,39,0.001351537,0.2378,1.1092,0.037033753
936,396,IRQ,5,0,0.0481,1.0015,7.67E-05
937,396,IRQ,5,0,0.0481,1.0015,7.67E-05
938,3346,IRN,6,0,0.0501,1.0022,0.00011865
939,65664,IRN,37,0.00144659,0.2269,1.0999,0.032800825
940,388076,ISR,78,0.003558122,0.5968,1.2721,0.216192509
941,321604,ISR,66,0.002112965,0.4677,1.224,0.143362968
942,478654,LBN,72,0.001126944,0.5195,1.243,0.171633028
943,88564,CYP,45,0.000449453,0.2894,1.1466,0.058256872
944,10757,SYR,13,3.88E-07,0.0791,1.0151,0.001439895
945,2300,CYP,6,0,0.0501,1.0022,0.00011865
946,67794,SYR,24,0.000112542,0.1298,1.0364,0.00684506
