iterations,Alpha,pval
608,2.1524,0.004995005
609,2.1966,0.435564436
610,2.1851,0.171828172
611,2.1897,0.492507493
612,2.2559,0.154845155
613,2.1959,0.152847153
614,2.2503,0.448551449
615,2.1121,0.02997003
616,2.1933,0.468531469
617,2.2369,0.2997003
618,2.2006,0.350649351
619,2.2547,0.558441558
620,2.1701,0.106893107
621,2.2236,0.204795205
622,2.2805,0.3996004
623,2.155,0.158841159
624,2.131,0.10989011
625,2.1381,0.053946054
626,2.2325,0.365634366
627,2.1814,0.321678322
628,2.1763,0.370629371
629,2.2244,0.283716284
630,2.0899,0.013986014
631,2.158,0.186813187
632,2.2783,0.284715285
633,2.2482,0.307692308
634,2.1718,0.132867133
635,2.2753,0.47952048
636,2.2345,0.087912088
637,2.2223,0.230769231
638,2.2259,0.178821179
639,2.2079,0.107892108
640,2.1728,0.177822178
641,2.1448,0.148851149
642,2.1916,0.213786214
643,2.2188,0.308691309
644,2.2003,0.514485514
645,2.2023,0.491508492
646,2.2661,0.376623377
647,2.2347,0.102897103
648,2.1887,0.338661339
649,2.2597,0.434565435
650,2.2176,0.106893107
651,2.1668,0.172827173
652,2.1954,0.395604396
653,2.2075,0.486513487
654,2.1579,0.03996004
655,2.2132,0.365634366
656,2.2753,0.542457542
657,2.1379,0.127872128
658,2.2102,0.312687313
659,2.1271,0.145854146
660,2.2897,0.713286713
661,2.0802,0.101898102
662,2.2069,0.223776224
663,2.1597,0.380619381
664,2.1912,0.625374625
665,2.1644,0.094905095
666,2.1881,0.134865135
667,2.2177,0.092907093
668,2.2507,0.395604396
669,2.1867,0.161838162
670,2.1781,0.231768232
671,2.1681,0.031968032
672,2.2356,0.221778222
673,2.2244,0.196803197
674,2.1984,0.033966034
675,2.266,0.436563437
676,2.168,0.26973027
677,2.2059,0.096903097
678,2.1665,0.261738262
679,2.2283,0.460539461
680,2.2264,0.297702298
681,2.286,0.511488511
682,2.2276,0.193806194
683,2.2361,0.297702298
684,2.131,0.097902098
685,2.2853,0.2997003
686,2.1779,0.198801199
687,2.1223,0.035964036
688,2.2055,0.148851149
689,2.2647,0.212787213
690,2.2395,0.086913087
691,2.2601,0.541458541
692,2.1615,0.441558442
693,2.1887,0.273726274
694,2.1511,0.196803197
695,2.2148,0.281718282
696,2.3097,0.541458541
697,2.1919,0.145854146
698,2.1672,0.053946054
699,2.2706,0.656343656
700,2.2313,0.842157842
701,2.254,0.367632368
702,2.2007,0.312687313
703,2.1536,0.328671329
704,2.1691,0.651348651
705,2.1923,0.065934066
706,2.1549,0.091908092
707,2.2021,0.362637363
708,2.1969,0.366633367
709,2.2357,0.165834166
710,2.1883,0.798201798
711,2.2043,0.35964036
712,2.2193,0.182817183
713,2.2917,0.057942058
714,2.1774,0.300699301
715,2.251,0.277722278
716,2.2153,0.277722278
717,2.1834,0.087912088
718,2.1529,0.216783217
719,2.1632,0.003996004
720,2.2371,0.614385614
721,2.1279,0.147852148
722,2.2171,0.096903097
723,2.1952,0.115884116
724,2.1404,0.16983017
725,2.2179,0.689310689
726,2.2305,0.698301698
727,2.2126,0.145854146
728,2.1821,0.294705295
729,2.2021,0.535464535
730,2.1655,0.035964036
731,2.131,0.040959041
732,2.207,0.277722278
733,2.2211,0.276723277
734,2.1921,0.246753247
735,2.209,0.158841159
736,2.1396,0.120879121
737,2.1964,0.112887113
738,2.1407,0.153846154
739,2.1724,0.072927073
740,2.1463,0.086913087
741,2.1712,0.055944056
742,2.0721,0.007992008
743,2.2325,0.491508492
744,2.1405,0.032967033
745,2.1715,0.342657343
746,2.1584,0.104895105
747,2.1331,0.172827173
748,2.1969,0.142857143
749,2.1666,0.105894106
750,2.1692,0.395604396
751,2.167,0.065934066
752,2.1871,0.236763237
753,2.2034,0.446553447
754,2.1711,0.327672328
755,2.2099,0.246753247
756,2.1522,0.177822178
757,2.2671,0.84015984
758,2.2686,0.669330669
759,2.2784,0.254745255
760,2.1951,0.05994006
761,2.1072,0.117882118
762,2.1604,0.114885115
763,2.2023,0.327672328
764,2.1991,0.085914086
765,2.1113,0.112887113
766,2.2074,0.154845155
767,2.1656,0.130869131
768,2.3434,0.26973027
769,2.2077,0.564435564
770,2.1663,0.515484515
771,2.2364,0.40959041
772,2.1554,0.114885115
773,2.2714,0.52047952
774,2.1149,0.054945055
775,2.2331,0.145854146
776,2.1498,0.090909091
777,2.1822,0.130869131
778,2.1717,0.131868132
779,2.2429,0.246753247
780,2.2888,0.34965035
781,2.2557,0.557442557
782,2.1908,0.184815185
783,2.2659,0.367632368
784,2.2122,0.532467532
785,2.2362,0.539460539
786,2.2326,0.338661339
787,2.188,0.253746254
788,2.2371,0.602397602
789,2.1207,0.03996004
790,2.2112,0.426573427
791,2.1588,0.270729271
792,2.2253,0.764235764
793,2.2554,0.591408591
794,2.1574,0.144855145
795,2.289,0.446553447
796,2.2149,0.204795205
797,2.2055,0.312687313
798,2.1967,0.213786214
799,2.1624,0.221778222
800,2.1644,0.366633367
801,2.2301,0.61038961
802,2.2364,0.160839161
803,2.1632,0.01998002
804,2.1147,0.134865135
805,2.1948,0.398601399
806,2.2131,0.42957043
807,2.2296,0.284715285
808,2.1507,0.093906094
809,2.1978,0.324675325
810,2.1437,0.028971029
811,2.1653,0.236763237
812,2.1695,0.032967033
813,2.2334,0.303696304
814,2.1562,0.224775225
815,2.155,0.105894106
816,2.2196,0.607392607
817,2.1185,0.126873127
818,2.0939,0.111888112
819,2.1694,0.290709291
820,2.2373,0.147852148
821,2.1427,0.080919081
822,2.149,0.543456543
823,2.1587,0.098901099
824,2.2318,0.283716284
825,2.2328,0.48951049
826,2.2643,0.306693307
827,2.2248,0.166833167
828,2.2069,0.67032967
829,2.1772,0.133866134
830,2.1749,0.195804196
831,2.2269,0.287712288
832,2.3004,0.458541459
833,2.251,0.326673327
834,2.2566,0.506493506
835,2.2093,0.064935065
836,2.2741,0.076923077
837,2.2403,0.582417582
838,2.084,0.097902098
839,2.1692,0.360639361
840,2.2203,0.24975025
841,2.2689,0.475524476
842,2.1445,0.054945055
843,2.2948,0.636363636
844,2.164,0.127872128
845,2.1489,0.181818182
846,2.1959,0.20979021
847,2.1947,0.093906094
848,2.1674,0.106893107
849,2.1195,0.013986014
850,2.251,0.185814186
851,2.2261,0.165834166
852,2.201,0.529470529
853,2.235,0.488511489
854,2.2258,0.05994006
855,2.1326,0.087912088
856,2.2071,0.165834166
857,2.34,0.497502498
858,2.1706,0.367632368
859,2.1599,0.172827173
860,2.1552,0.082917083
861,2.209,0.444555445
862,2.188,0.302697303
863,2.2174,0.047952048
864,2.1832,0.394605395
865,2.2892,0.201798202
866,2.224,0.141858142
867,2.2022,0.242757243
868,2.169,0.134865135
869,2.2143,0.227772228
870,2.1893,0.292707293
871,2.2054,0.083916084
872,2.2805,0.197802198
873,2.2832,0.705294705
874,2.1241,0.164835165
875,2.1803,0.237762238
876,2.2613,0.472527473
877,2.2349,0.71028971
878,2.1794,0.34965035
879,2.2407,0.51048951
880,2.2566,0.141858142
881,2.2455,0.170829171
882,2.2765,0.524475524
883,2.1271,0.027972028
884,2.2357,0.172827173
885,2.1821,0.257742258
886,2.1392,0.04995005
887,2.223,0.592407592
888,2.1283,0.062937063
889,2.2062,0.093906094
890,2.2915,0.511488511
891,2.161,0.354645355
892,2.2232,0.384615385
893,2.2262,0.471528472
894,2.1917,0.185814186
895,2.2697,0.398601399
896,2.3151,0.295704296
897,2.2552,0.406593407
898,2.1587,0.194805195
899,2.1914,0.358641359
900,2.2085,0.156843157
901,2.1879,0.287712288
902,2.1609,0.080919081
903,2.1277,0.12987013
904,2.1387,0.003996004
905,2.3427,0.138861139
906,2.193,0.277722278
907,2.1951,0.102897103
908,2.1908,0.657342657
909,2.1692,0.286713287
910,2.1767,0.131868132
911,2.2206,0.438561439
912,2.2303,0.366633367
913,2.2135,0.346653347
914,2.2623,0.223776224
915,2.1256,0.171828172
916,2.2023,0.195804196
917,2.2461,0.337662338
918,2.1372,0.042957043
919,2.1372,0.031968032
920,2.1789,0.674325674
921,2.1865,0.477522478
922,2.2098,0.241758242
923,2.141,0.256743257
924,2.1703,0.313686314
925,2.2069,0.047952048
926,2.1831,0.471528472
927,2.172,0.471528472
928,2.1531,0.088911089
929,2.1237,0.083916084
930,2.1597,0.031968032
931,2.1696,0.277722278
932,2.276,0.526473526
933,2.2297,0.125874126
934,2.1936,0.152847153
935,2.2074,0.447552448
936,2.211,0.477522478
937,2.208,0.221778222
938,2.1702,0.356643357
939,2.2226,0.444555445
940,2.1655,0.144855145
941,2.1755,0.064935065
942,2.1308,0.241758242
943,2.2152,0.412587413
944,2.1189,0.036963037
945,2.2469,0.391608392
946,2.153,0.207792208
947,2.1903,0.264735265
948,2.1371,0.264735265
949,2.1931,0.323676324
950,2.3242,0.651348651
951,2.1472,0.180819181
952,2.1719,0.093906094
953,2.1838,0.5004995
954,2.1756,0.082917083
955,2.1595,0.063936064
956,2.1759,0.125874126
957,2.1855,0.042957043
958,2.303,0.534465534
959,2.1325,0.073926074
960,2.2535,0.458541459
961,2.221,0.506493506
962,2.2095,0.192807193
963,2.1798,0.445554446
964,2.1697,0.566433566
965,2.2444,0.445554446
966,2.2608,0.52047952
967,2.1905,0.461538462
968,2.2856,0.390609391
969,2.0818,0.404595405
970,2.2255,0.273726274
971,2.2926,0.185814186
972,2.1015,0.058941059
973,2.1908,0.096903097
974,2.159,0.17982018
975,2.2322,0.493506494
976,2.1848,0.151848152
977,2.2652,0.676323676
978,2.176,0.27972028
979,2.2428,0.181818182
980,2.192,0.071928072
981,2.2337,0.241758242
982,2.2356,0.131868132
983,2.2086,0.041958042
984,2.2038,0.225774226
