id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
706,56123,VEN,30,0.000186524,0.2237,1.1096,0.032679196
707,5910,VEN,16,2.32E-05,0.1073,1.0356,0.004724014
708,8974,VEN,22,7.00E-05,0.1529,1.0595,0.01222577
709,24627,COL,34,0.000363663,0.273,1.1554,0.05322109
710,47325,COL,27,0.00069161,0.195,1.0899,0.023443694
711,2275,VEN,9,2.27E-06,0.0666,1.0069,0.000544233
713,649,COL,7,4.17E-05,0.0587,1.0038,0.000255309
714,207129,CHL,35,0.00058468,0.287,1.1669,0.059405781
717,183853,CHL,30,0.000197259,0.2237,1.1096,0.032679196
718,62828,CHL,12,0,0.0804,1.0186,0.001743468
719,426688,CHL,54,0.001891059,0.4626,1.2282,0.138408489
720,314541,CHL,34,0.000323609,0.273,1.1554,0.05322109
721,91844,CHL,29,0.000695261,0.2107,1.1012,0.028410741
722,200944,CHL,34,0.001011496,0.273,1.1554,0.05322109
724,301716,CHL,31,0.000370629,0.2352,1.1202,0.037134384
725,66667,CHL,23,0.000193258,0.1593,1.0632,0.013605553
726,479,PER,4,0,0.0476,1.0008,3.99E-05
727,7478,PER,7,1.40E-06,0.0587,1.0038,0.000255309
728,734744,PER,67,0.004138398,0.6006,1.255,0.209437555
729,51729,PER,16,0.000352254,0.1073,1.0356,0.004724014
731,966,ECU,2,0,0.0425,1.0001,3.54E-06
732,236786,ECU,61,0.005781845,0.5271,1.2414,0.17072404
734,2492,ECU,1,0,0.0409,1,4.44E-16
735,108188,IND,32,0.000348752,0.2469,1.1332,0.042224206
736,18642,MDV,6,0,0.0538,1.0022,0.00013215
737,2036514,LKA,116,0.010214504,0.858,1.1921,0.317674242
738,13199,IND,8,2.18E-06,0.0619,1.0053,0.000376924
740,1350,IND,2,0,0.0425,1.0001,3.54E-06
741,243642,IND,52,0.002527187,0.4401,1.2334,0.129637672
742,30529,IND,17,8.60E-05,0.1193,1.0407,0.0062313
743,42201,IND,13,2.07E-06,0.0876,1.0217,0.002291562
744,1350,IND,2,0,0.0425,1.0001,3.54E-06
745,60496,IND,22,0.000520506,0.1529,1.0595,0.01222577
746,1249937,IND,90,0.003273129,0.7804,1.252,0.299867755
747,224,IND,4,0,0.0476,1.0008,3.99E-05
748,433014,IND,41,0.000341401,0.3342,1.1941,0.079993336
749,164223,IND,36,0.000394507,0.2937,1.1701,0.062077882
750,30330,IND,7,0,0.0587,1.0038,0.000255309
751,99908,BGD,23,0.000544151,0.1593,1.0632,0.013605553
752,15759,BGD,4,0,0.0476,1.0008,3.99E-05
753,29505,IND,9,9.18E-05,0.0666,1.0069,0.000544233
754,918340,IND,89,0.004978744,0.7812,1.2642,0.303847843
756,862879,PAK,78,0.007861508,0.7112,1.2712,0.269714286
757,1139,IDN,10,0,0.07,1.0091,0.00075216
759,629,IDN,3,0,0.0444,1.0004,1.86E-05
764,5329,TLS,12,8.19E-05,0.0804,1.0186,0.001743468
766,126195,IDN,37,0.000750044,0.3063,1.1774,0.067407498
767,44255,IDN,22,0.00024355,0.1529,1.0595,0.01222577
769,340511,IDN,69,0.00246203,0.6264,1.2599,0.223453879
770,2794,IDN,4,0,0.0476,1.0008,3.99E-05
771,12533,IDN,13,2.00E-05,0.0876,1.0217,0.002291562
772,6103,IDN,6,0,0.0538,1.0022,0.00013215
776,7242,IDN,13,1.81E-05,0.0876,1.0217,0.002291562
777,1139,IDN,10,0,0.07,1.0091,0.00075216
778,6435,IDN,2,0,0.0425,1.0001,3.54E-06
781,1139,IDN,10,0,0.07,1.0091,0.00075216
790,1139,IDN,10,0,0.07,1.0091,0.00075216
794,7607116.5,SGP,232,0.061631563,1,1.0869,0.2959
795,3097270,MYS,170,0.023487431,1,1.1399,0.335127273
796,81170,MYS,49,0.001707507,0.4117,1.2293,0.116752685
797,2140,IDN,4,0,0.0476,1.0008,3.99E-05
798,9645,MYS,15,0.000240826,0.1032,1.031,0.004000512
801,8044,MYS,15,0.000240826,0.1032,1.031,0.004000512
802,3462500,MYS,172,0.023975425,1,1.1283,0.326688889
803,57671.5,MYS,25,0.000440587,0.175,1.0732,0.017423052
806,22420,IDN,8,7.96E-07,0.0619,1.0053,0.000376924
807,25876,MYS,21,2.36E-05,0.1455,1.0537,0.010538419
808,5974,MYS,14,0.000130579,0.0969,1.0269,0.003220767
809,5768,MYS,13,9.04E-05,0.0876,1.0217,0.002291562
810,20945.5,BRN,16,0.000280961,0.1073,1.0356,0.004724014
811,1083,MYS,9,0,0.0666,1.0069,0.000544233
812,16631,MYS,11,0,0.074,1.0117,0.00102696
813,118276,MYS,42,0.000385921,0.3438,1.1966,0.083934565
815,4949,MYS,13,9.04E-05,0.0876,1.0217,0.002291562
816,36266,MYS,17,0.000290725,0.1193,1.0407,0.0062313
817,31271,PHL,25,0.000378361,0.175,1.0732,0.017423052
819,105051,PHL,45,0.001092943,0.372,1.2071,0.096534165
820,8083,THA,8,9.38E-07,0.0619,1.0053,0.000376924
825,13517,PHL,13,1.28E-06,0.0876,1.0217,0.002291562
829,13689,PHL,6,2.56E-07,0.0538,1.0022,0.00013215
831,3301,VNM,4,0,0.0476,1.0008,3.99E-05
832,43646,KHM,24,4.75E-05,0.1672,1.0698,0.01566722
834,1049874,VNM,76,0.002053043,0.6979,1.2785,0.264827506
837,873568,THA,78,0.001490574,0.7112,1.2712,0.269714286
840,188451,THA,52,0.001829316,0.4401,1.2334,0.129637672
841,16045,VNM,9,1.99E-06,0.0666,1.0069,0.000544233
842,18390,PHL,14,7.17E-06,0.0969,1.0269,0.003220767
845,197766,PHL,53,0.000501606,0.4451,1.2328,0.131697397
846,62942,PHL,29,1.73E-05,0.2107,1.1012,0.028410741
848,31293,VNM,25,0.000130416,0.175,1.0732,0.017423052
849,33719,MMR,17,1.01E-05,0.1193,1.0407,0.0062313
851,138987,VNM,48,0.000461214,0.3993,1.2194,0.109723333
852,775306,ZAF,68,0.001635696,0.6158,1.2577,0.217741772
853,557737,ZAF,59,0.004215894,0.4989,1.2296,0.15500529
855,876085,ZAF,74,0.00594999,0.6585,1.2646,0.241029734
857,3601,NAM,5,0,0.0517,1.0016,9.16E-05
858,256798,NAM,41,0.003040712,0.3342,1.1941,0.079993336
859,261418,AGO,50,0.005831551,0.4197,1.2318,0.120567865
860,94782,NGA,21,5.02E-05,0.1455,1.0537,0.010538419
861,375,CPV,4,0,0.0476,1.0008,3.99E-05
862,33518,AGO,13,0.000141499,0.0876,1.0217,0.002291562
863,134413,AGO,29,0.001649458,0.2107,1.1012,0.028410741
865,9466,AGO,10,3.47E-05,0.07,1.0091,0.00075216
866,5033,COD,3,0,0.0444,1.0004,1.86E-05
867,13799,COD,7,1.28E-05,0.0587,1.0038,0.000255309
868,25094,COD,7,1.28E-05,0.0587,1.0038,0.000255309
869,4313,AGO,5,0,0.0517,1.0016,9.16E-05
870,700,AGO,4,0,0.0476,1.0008,3.99E-05
871,272036,COG,47,0.006797554,0.3824,1.2072,0.100591602
872,15573,GAB,4,0,0.0476,1.0008,3.99E-05
874,4230,STP,5,0,0.0517,1.0016,9.16E-05
875,32822,GAB,11,1.98E-05,0.074,1.0117,0.00102696
876,36510,GNQ,17,0.000150858,0.1193,1.0407,0.0062313
879,35430,GNQ,15,0.000131534,0.1032,1.031,0.004000512
880,75737,CMR,19,0.000169157,0.1319,1.0488,0.008363061
